participant_idx,order_condition,theme_position,theme,theme_label,question_type,time,within_theme_order,global_order,time_clipped,within_order_label,is_first,position_group
53,BTP,6,air,Airport Security,Error Threshold,7.471,1,11,7.471,First,False,Middle (Q2-6)
53,BTP,7,firearm,Firearm Checks,Baseline,7.815,2,14,7.815,Second,False,Last (Q7)
53,BTP,7,firearm,Firearm Checks,Error Threshold,2.923,1,13,2.923,First,False,Last (Q7)
54,PBT,1,disease,Disease Screening,Baseline,11.017,1,1,11.017,First,True,First (Q1)
54,PBT,1,disease,Disease Screening,Error Threshold,4.556,2,2,4.556,Second,True,First (Q1)
54,PBT,2,armed,Armed Conflict,Error Threshold,15.611,2,4,15.611,Second,False,Middle (Q2-6)
54,PBT,3,conv,Convictions,Error Threshold,12.162,2,6,12.162,Second,False,Middle (Q2-6)
54,PBT,4,welfare,Welfare Benefits,Baseline,16.009,1,7,16.009,First,False,Middle (Q2-6)
54,PBT,4,welfare,Welfare Benefits,Error Threshold,11.277,2,8,11.277,Second,False,Middle (Q2-6)
54,PBT,5,immi,Immigration,Error Threshold,9.868,2,10,9.868,Second,False,Middle (Q2-6)
54,PBT,6,air,Airport Security,Baseline,5.883,1,11,5.883,First,False,Middle (Q2-6)
54,PBT,6,air,Airport Security,Error Threshold,4.127,2,12,4.127,Second,False,Middle (Q2-6)
54,PBT,7,auto,Autonomous Driving,Baseline,19.327,1,13,19.327,First,False,Last (Q7)
54,PBT,7,auto,Autonomous Driving,Error Threshold,7.911,2,14,7.911,Second,False,Last (Q7)
55,BTP,1,disease,Disease Screening,Baseline,58.117,2,2,58.117,Second,True,First (Q1)
55,BTP,1,disease,Disease Screening,Error Threshold,19.376,1,1,19.376,First,True,First (Q1)
55,BTP,2,armed,Armed Conflict,Error Threshold,43.076,1,3,43.076,First,False,Middle (Q2-6)
55,BTP,3,conv,Convictions,Baseline,5.74,2,6,5.74,Second,False,Middle (Q2-6)
55,BTP,3,conv,Convictions,Error Threshold,6.219,1,5,6.219,First,False,Middle (Q2-6)
55,BTP,4,welfare,Welfare Benefits,Baseline,15.764,2,8,15.764,Second,False,Middle (Q2-6)
55,BTP,4,welfare,Welfare Benefits,Error Threshold,18.687,1,7,18.687,First,False,Middle (Q2-6)
55,BTP,5,immi,Immigration,Baseline,28.074,2,10,28.074,Second,False,Middle (Q2-6)
55,BTP,5,immi,Immigration,Error Threshold,22.001,1,9,22.001,First,False,Middle (Q2-6)
55,BTP,6,vote,Voting,Baseline,11.959,2,12,11.959,Second,False,Middle (Q2-6)
55,BTP,6,vote,Voting,Error Threshold,6.259,1,11,6.259,First,False,Middle (Q2-6)
55,BTP,7,firearm,Firearm Checks,Baseline,9.358,2,14,9.358,Second,False,Last (Q7)
55,BTP,7,firearm,Firearm Checks,Error Threshold,19.053,1,13,19.053,First,False,Last (Q7)
56,PBT,1,disease,Disease Screening,Error Threshold,2.224,2,2,2.224,Second,True,First (Q1)
56,PBT,2,conv,Convictions,Error Threshold,7.44,2,4,7.44,Second,False,Middle (Q2-6)
56,PBT,3,immi,Immigration,Error Threshold,2.861,2,6,2.861,Second,False,Middle (Q2-6)
56,PBT,4,vote,Voting,Baseline,1.857,1,7,1.857,First,False,Middle (Q2-6)
56,PBT,4,vote,Voting,Error Threshold,1.752,2,8,1.752,Second,False,Middle (Q2-6)
56,PBT,5,air,Airport Security,Error Threshold,2.384,2,10,2.384,Second,False,Middle (Q2-6)
56,PBT,6,firearm,Firearm Checks,Baseline,2.248,1,11,2.248,First,False,Middle (Q2-6)
56,PBT,6,firearm,Firearm Checks,Error Threshold,1.918,2,12,1.918,Second,False,Middle (Q2-6)
56,PBT,7,auto,Autonomous Driving,Error Threshold,164.733,2,14,135.52889999999968,Second,False,Last (Q7)
57,TBP,1,disease,Disease Screening,Baseline,9.038,2,2,9.038,Second,True,First (Q1)
57,TBP,1,disease,Disease Screening,Error Threshold,8.126,1,1,8.126,First,True,First (Q1)
57,TBP,2,welfare,Welfare Benefits,Baseline,20.507,2,4,20.507,Second,False,Middle (Q2-6)
57,TBP,2,welfare,Welfare Benefits,Error Threshold,16.452,1,3,16.452,First,False,Middle (Q2-6)
57,TBP,3,immi,Immigration,Error Threshold,31.807,1,5,31.807,First,False,Middle (Q2-6)
57,TBP,4,vote,Voting,Error Threshold,11.518,1,7,11.518,First,False,Middle (Q2-6)
57,TBP,5,air,Airport Security,Error Threshold,11.008,1,9,11.008,First,False,Middle (Q2-6)
57,TBP,6,firearm,Firearm Checks,Error Threshold,6.478,1,11,6.478,First,False,Middle (Q2-6)
57,TBP,7,auto,Autonomous Driving,Error Threshold,85.859,1,13,85.859,First,False,Last (Q7)
58,PTB,1,armed,Armed Conflict,Error Threshold,17.709,1,1,17.709,First,True,First (Q1)
58,PTB,2,welfare,Welfare Benefits,Baseline,10.23,2,4,10.23,Second,False,Middle (Q2-6)
58,PTB,2,welfare,Welfare Benefits,Error Threshold,55.941,1,3,55.941,First,False,Middle (Q2-6)
58,PTB,3,immi,Immigration,Baseline,8.518,2,6,8.518,Second,False,Middle (Q2-6)
58,PTB,3,immi,Immigration,Error Threshold,6.756,1,5,6.756,First,False,Middle (Q2-6)
58,PTB,4,vote,Voting,Baseline,11.648,2,8,11.648,Second,False,Middle (Q2-6)
58,PTB,4,vote,Voting,Error Threshold,7.546,1,7,7.546,First,False,Middle (Q2-6)
58,PTB,5,air,Airport Security,Error Threshold,38.675,1,9,38.675,First,False,Middle (Q2-6)
58,PTB,6,firearm,Firearm Checks,Baseline,17.419,2,12,17.419,Second,False,Middle (Q2-6)
58,PTB,6,firearm,Firearm Checks,Error Threshold,9.001,1,11,9.001,First,False,Middle (Q2-6)
58,PTB,7,auto,Autonomous Driving,Error Threshold,11.512,1,13,11.512,First,False,Last (Q7)
59,PTB,1,armed,Armed Conflict,Error Threshold,10.303,1,1,10.303,First,True,First (Q1)
59,PTB,2,conv,Convictions,Error Threshold,10.24,1,3,10.24,First,False,Middle (Q2-6)
59,PTB,3,welfare,Welfare Benefits,Baseline,12.209,2,6,12.209,Second,False,Middle (Q2-6)
59,PTB,3,welfare,Welfare Benefits,Error Threshold,2.788,1,5,2.788,First,False,Middle (Q2-6)
59,PTB,4,vote,Voting,Baseline,14.77,2,8,14.77,Second,False,Middle (Q2-6)
59,PTB,4,vote,Voting,Error Threshold,2.967,1,7,2.967,First,False,Middle (Q2-6)
59,PTB,5,air,Airport Security,Error Threshold,7.11,1,9,7.11,First,False,Middle (Q2-6)
59,PTB,6,firearm,Firearm Checks,Baseline,12.693,2,12,12.693,Second,False,Middle (Q2-6)
59,PTB,6,firearm,Firearm Checks,Error Threshold,14.557,1,11,14.557,First,False,Middle (Q2-6)
59,PTB,7,auto,Autonomous Driving,Baseline,140.76,2,14,135.52889999999968,Second,False,Last (Q7)
59,PTB,7,auto,Autonomous Driving,Error Threshold,48.395,1,13,48.395,First,False,Last (Q7)
60,BTP,1,conv,Convictions,Error Threshold,4.042,1,1,4.042,First,True,First (Q1)
